lineage,suppressed_on,days,removed,min_coverage,group
lineage_00855,2022-03-05,1496.6,0,32.0,redundant
lineage_00855,2022-04-06,1464.4,0,32.0,redundant
lineage_00855,2022-09-21,1296.5,0,32.0,redundant
lineage_00855,2022-11-01,1255.4,0,32.0,redundant
lineage_00855,2023-01-19,1176.3,0,32.0,redundant
lineage_00855,2025-10-09,182.5,0,32.0,redundant
lineage_00929,2024-02-12,787.5,0,40.0,redundant
lineage_02895,2022-04-06,1464.4,0,7.0,redundant
lineage_04215,2022-09-29,1288.5,0,17.0,redundant
lineage_04215,2024-03-26,744.5,0,17.0,redundant
lineage_03582,2022-12-02,1224.5,0,76.0,redundant
lineage_03582,2025-10-09,182.5,0,76.0,redundant
lineage_03143,2022-05-04,1436.6,0,76.0,redundant
lineage_01176,2022-06-29,1380.3,0,10.0,redundant
lineage_00409,2025-10-09,182.5,0,2.0,redundant
lineage_00409,2025-10-17,174.9,0,2.0,redundant
lineage_04705,2022-09-18,1299.4,0,17.0,redundant
lineage_04705,2025-10-09,182.5,0,17.0,redundant
lineage_04433,2022-07-04,1375.4,0,17.0,redundant
lineage_04433,2022-07-07,1372.5,0,17.0,redundant
lineage_04433,2022-08-09,1339.3,0,17.0,redundant
lineage_04433,2022-10-11,1276.5,0,17.0,redundant
lineage_02492,2022-04-07,1463.5,0,90.0,redundant
lineage_02492,2022-04-21,1449.6,0,90.0,redundant
lineage_01903,2025-10-09,182.5,0,,untagged
lineage_00492,2025-10-09,182.5,0,3.0,redundant
lineage_03337,2022-08-24,1325.0,0,20.0,redundant
lineage_03337,2022-09-18,1299.4,0,20.0,redundant
lineage_03621,2023-09-29,923.5,0,76.0,redundant
lineage_04532,2022-07-22,1357.7,0,,untagged
lineage_04532,2025-11-25,135.4,0,,untagged
lineage_00418,2022-09-29,1288.6,0,8.0,redundant
lineage_01942,2023-03-05,1131.4,0,76.0,redundant
lineage_01735,2022-02-13,1516.6,0,76.0,redundant
lineage_01735,2022-02-20,1509.6,0,76.0,redundant
lineage_01735,2022-03-24,1477.0,0,76.0,redundant
lineage_01735,2023-01-06,1189.4,0,76.0,redundant
lineage_01735,2025-07-08,125.2,1,76.0,redundant
lineage_01551,2023-01-06,1189.3,0,,untagged
lineage_01662,2021-06-01,1773.5,0,3.0,redundant
lineage_01662,2022-02-09,1520.3,0,3.0,redundant
lineage_01662,2022-06-13,1396.5,0,3.0,redundant
lineage_01662,2023-08-11,972.6,0,3.0,redundant
lineage_01662,2025-10-09,182.5,0,3.0,redundant
lineage_00039,2022-03-05,1496.6,0,76.0,redundant
lineage_02580,2020-11-28,1958.3,0,,untagged
lineage_02580,2021-11-30,1591.6,0,,untagged
lineage_02580,2021-12-16,1575.2,0,,untagged
lineage_02580,2021-12-19,1572.6,0,,untagged
lineage_02580,2022-01-08,1552.4,0,,untagged
lineage_02580,2022-01-19,1541.3,0,,untagged
lineage_02580,2022-02-25,1504.5,0,,untagged
lineage_02580,2022-04-06,1464.4,0,,untagged
lineage_02580,2022-07-07,1372.3,0,,untagged
lineage_02580,2022-08-10,1338.4,0,,untagged
lineage_02580,2022-09-01,1316.3,0,,untagged
lineage_02580,2022-09-21,1296.5,0,,untagged
lineage_02446,2023-01-11,1184.1,0,,untagged
lineage_04376,2022-05-06,1434.6,0,32.0,redundant
lineage_01064,2022-04-06,1464.4,0,31.0,redundant
lineage_01064,2022-04-21,1449.6,0,31.0,redundant
lineage_01064,2022-09-21,1296.5,0,31.0,redundant
lineage_04329,2022-07-21,1358.1,0,1.0,singleton
lineage_04329,2022-09-21,1296.5,0,1.0,singleton
lineage_02578,2022-02-09,1520.3,0,7.0,redundant
lineage_02578,2022-09-21,1296.5,0,7.0,redundant
lineage_02578,2023-03-14,1122.0,0,7.0,redundant
lineage_03578,2020-02-26,88.2,1,32.0,redundant
lineage_03578,2024-03-26,744.2,0,32.0,redundant
lineage_03578,2024-07-17,631.6,0,32.0,redundant
lineage_03578,2025-10-09,182.5,0,32.0,redundant
lineage_02292,2021-12-04,1587.4,0,6.0,redundant
lineage_02292,2021-12-18,1573.8,0,6.0,redundant
lineage_02292,2022-05-23,1417.4,0,6.0,redundant
lineage_02292,2022-07-27,1352.5,0,6.0,redundant
lineage_02292,2022-08-11,1337.7,0,6.0,redundant
lineage_02292,2022-08-24,1324.7,0,6.0,redundant
lineage_02292,2022-10-14,1273.4,0,6.0,redundant
lineage_02292,2022-10-20,1267.4,0,6.0,redundant
lineage_02292,2022-10-21,1266.4,0,6.0,redundant
lineage_02292,2025-07-08,275.6,0,6.0,redundant
lineage_04243,2025-11-23,137.4,0,76.0,redundant
lineage_04574,2022-09-29,1288.6,0,8.0,redundant
lineage_04574,2023-01-06,1189.4,0,8.0,redundant
lineage_00567,2021-03-05,1861.5,0,32.0,redundant
lineage_00567,2022-02-09,1520.3,0,32.0,redundant
lineage_04258,2022-12-05,99.3,1,90.0,redundant
lineage_04258,2024-07-17,631.6,0,90.0,redundant
lineage_01809,2018-08-08,2801.4,0,,untagged
lineage_01809,2018-08-08,2801.4,0,,untagged
lineage_01960,2021-12-02,41.0,1,8.0,redundant
lineage_04578,2022-08-02,1346.6,0,8.0,redundant
lineage_01302,2019-11-04,8.9,1,,untagged
lineage_01302,2021-11-17,1604.6,0,,untagged
lineage_04605,2017-04-13,3283.7,0,,untagged
lineage_00714,2020-11-10,1976.4,0,,untagged
lineage_03632,2019-02-05,2620.4,0,,untagged
lineage_03690,2017-08-02,3172.1,0,,untagged
lineage_04125,2018-03-19,2943.3,0,,untagged
lineage_01293,2021-08-19,1694.7,0,78.0,redundant
lineage_03927,2022-02-21,1508.6,0,78.0,redundant
lineage_00792,2022-12-22,1204.4,0,78.0,redundant
lineage_01009,2022-06-15,1394.5,0,78.0,redundant
lineage_01009,2022-06-27,29.9,1,78.0,redundant
lineage_00304,2022-06-15,1394.5,0,2.0,redundant
lineage_00794,2022-06-15,1394.5,0,2.0,redundant
lineage_00102,2021-12-01,1590.5,0,6.0,redundant
lineage_02484,2025-06-23,290.6,0,,untagged
lineage_02484,2025-12-09,121.9,0,,untagged
lineage_01286,2022-02-05,24.6,1,2.0,redundant
lineage_01286,2022-03-11,1490.6,0,2.0,redundant
lineage_01286,2023-07-05,1009.6,0,2.0,redundant
lineage_01286,2024-08-29,588.5,0,2.0,redundant
lineage_00006,2022-06-12,1397.4,0,13.0,redundant
lineage_01305,2022-10-24,1.0,1,,untagged
lineage_01305,2022-10-25,1262.6,0,,untagged
lineage_01305,2022-10-25,1262.5,0,,untagged
lineage_01305,2022-10-26,1261.6,0,,untagged
lineage_01305,2022-10-28,1259.7,0,,untagged
lineage_01305,2022-10-28,2.8,1,,untagged
lineage_01305,2022-10-29,2.1,1,,untagged
lineage_01305,2022-11-07,1249.5,0,,untagged
lineage_01305,2022-12-12,1214.5,0,,untagged
lineage_01305,2023-07-13,13.0,1,,untagged
lineage_01305,2024-08-29,588.2,0,,untagged
lineage_01305,2024-10-08,548.1,0,,untagged
lineage_01305,2024-12-27,468.3,0,,untagged
lineage_01305,2026-03-01,39.9,0,,untagged
lineage_04297,2023-06-13,1031.6,0,,untagged
lineage_02135,2021-12-20,1571.5,0,57.0,redundant
lineage_02135,2022-02-07,1522.4,0,57.0,redundant
lineage_00452,2023-05-05,1070.3,0,90.0,redundant
lineage_00242,2022-06-22,1387.4,0,4.0,redundant
lineage_03503,2022-02-22,1507.6,0,16.0,redundant
lineage_03503,2022-02-22,1507.5,0,16.0,redundant
lineage_03503,2022-02-22,1507.5,0,16.0,redundant
lineage_03503,2022-04-06,1464.4,0,16.0,redundant
lineage_03503,2022-11-01,447.8,1,16.0,redundant
lineage_03503,2025-10-09,182.5,0,16.0,redundant
lineage_02480,2023-02-27,329.8,1,16.0,redundant
lineage_02480,2023-05-30,238.0,1,16.0,redundant
lineage_01123,2022-02-22,1507.5,0,16.0,redundant
lineage_01123,2024-01-23,807.5,0,16.0,redundant
lineage_00799,2023-01-17,1178.2,0,16.0,redundant
lineage_04231,2022-02-22,1507.5,0,16.0,redundant
